year,state,district
2004,CA,20
2004,FL,20
2004,GA,4
2004,IL,3
2004,KY,4
2004,LA,7
2004,MO,3
2004,MO,5
2004,OK,2
2004,PA,13
2004,TX,8
2004,WI,4
2004,CA,3
2004,CO,3
2004,GA,6
2004,GA,8
2004,LA,1
2004,LA,3
2004,MI,7
2004,NY,27
2004,NY,29
2004,NC,5
2004,NC,10
2004,PA,8
2004,PA,15
2004,SC,4
2004,VA,2
2004,WA,5
2004,WA,8
2004,FL,14
2004,NE,1
2004,TX,9
2004,TX,28
2006,FL,11
2006,HI,2
2006,IL,17
2006,MD,3
2006,MN,5
2006,NY,11
2006,OH,6
2006,OH,13
2006,TN,9
2006,AZ,8
2006,CA,22
2006,CO,5
2006,CO,7
2006,FL,9
2006,FL,13
2006,ID,1
2006,IL,6
2006,IA,1
2006,MN,6
2006,NE,3
2006,NV,2
2006,NY,24
2006,OH,4
2006,OK,5
2006,TN,1
2006,WI,8
2006,VT,0
2006,GA,4
2006,MI,7
2008,AL,5
2008,CA,12
2008,CO,2
2008,ME,1
2008,NM,3
2008,NY,21
2008,OR,5
2008,AL,2
2008,AZ,1
2008,CA,4
2008,CA,52
2008,CO,6
2008,FL,15
2008,IL,11
2008,IL,18
2008,KY,2
2008,LA,4
2008,MN,3
2008,MS,3
2008,MO,9
2008,NJ,3
2008,NJ,7
2008,NM,1
2008,NM,2
2008,NY,13
2008,NY,25
2008,NY,26
2008,OH,7
2008,OH,15
2008,OH,16
2008,PA,5
2008,VA,11
2008,WY,0
2008,MD,1
2008,MD,4
2008,UT,3
2008,TN,1
2010,AL,7
2010,AR,1
2010,AR,2
2010,CA,33
2010,FL,17
2010,IN,8
2010,KS,3
2010,LA,3
2010,MA,10
2010,MI,1
2010,NH,2
2010,PA,7
2010,RI,1
2010,TN,6
2010,TN,8
2010,WA,3
2010,WI,7
2010,AR,3
2010,AZ,3
2010,CA,19
2010,DE,0
2010,FL,5
2010,FL,12
2010,FL,21
2010,GA,7
2010,IL,10
2010,IN,4
2010,KS,1
2010,KS,4
2010,MI,2
2010,MI,3
2010,MO,7
2010,OK,5
2010,SC,1
2010,SC,3
2010,TN,3
2010,MI,13
2010,WV,1
2010,AL,5
2010,SC,4
2014,AZ,7
2014,CA,11
2014,CA,33
2014,CA,35
2014,HI,1
2014,IA,1
2014,ME,2
2014,MI,12
2014,MI,14
2014,NJ,12
2014,NY,4
2014,NY,21
2014,NC,7
2014,PA,13
2014,UT,4
2014,VA,8
2014,AL,6
2014,AR,2
2014,AR,4
2014,CA,25
2014,CA,31
2014,CA,45
2014,CO,4
2014,GA,1
2014,GA,10
2014,GA,11
2014,IA,3
2014,LA,6
2014,MI,4
2014,MI,8
2014,MN,6
2014,MT,0
2014,NJ,3
2014,NC,6
2014,OK,5
2014,PA,6
2014,TX,36
2014,VA,10
2014,WA,4
2014,WV,2
2014,WI,6
2014,LA,5
2014,MA,6
2014,MI,11
2014,TX,4
2014,VA,7
2016,AZ,1
2016,CA,20
2016,CA,24
2016,CA,44
2016,CA,46
2016,DE,0
2016,FL,2
2016,FL,9
2016,FL,18
2016,HI,1
2016,IL,8
2016,MD,4
2016,MD,8
2016,NY,3
2016,NY,13
2016,TX,15
2016,WA,7
2016,AZ,5
2016,FL,1
2016,FL,4
2016,FL,11
2016,FL,19
2016,GA,3
2016,IN,3
2016,IN,9
2016,KY,1
2016,LA,3
2016,LA,4
2016,MI,1
2016,MI,10
2016,MN,2
2016,NV,3
2016,NY,19
2016,NY,22
2016,PA,16
2016,TN,8
2016,TX,19
2016,VA,2
2016,VA,5
2016,WI,8
2016,WY,0
2016,FL,5
2016,PA,2
2016,KS,1
2016,NC,2
2016,VA,2
2018,AZ,9
2018,CO,2
2018,CT,5
2018,HI,1
2018,IL,4
2018,MD,6
2018,MA,3
2018,MI,9
2018,MN,1
2018,MN,5
2018,MN,8
2018,NV,3
2018,NV,4
2018,NH,1
2018,NM,1
2018,PA,2
2018,TX,16
2018,TX,29
2018,AZ,2
2018,CA,39
2018,CA,49
2018,FL,6
2018,FL,15
2018,FL,17
2018,FL,27
2018,ID,1
2018,IN,4
2018,IN,6
2018,KS,2
2018,MI,11
2018,MS,3
2018,NJ,2
2018,NJ,11
2018,NM,2
2018,ND,0
2018,OH,16
2018,OK,1
2018,PA,6
2018,PA,9
2018,PA,13
2018,SC,4
2018,SD,0
2018,TN,2
2018,TN,6
2018,TN,7
2018,TX,2
2018,TX,3
2018,TX,5
2018,TX,6
2018,TX,21
2018,VA,5
2018,VA,6
2018,WA,8
2018,WV,3
2018,WI,1
2018,MA,7
2018,NY,14
2018,NC,9
2018,SC,1
2020,CA,53
2020,HI,2
2020,IN,1
2020,IA,2
2020,MA,4
2020,NM,3
2020,NY,15
2020,NY,17
2020,WA,10
2020,MI,3
2020,AL,1
2020,AL,2
2020,CA,8
2020,FL,3
2020,FL,19
2020,GA,7
2020,GA,9
2020,IL,15
2020,IN,5
2020,KS,1
2020,LA,5
2020,MI,10
2020,MT,0
2020,NY,2
2020,NC,2
2020,NC,6
2020,OR,2
2020,TN,1
2020,TX,11
2020,TX,13
2020,TX,17
2020,TX,22
2020,TX,23
2020,TX,24
2020,UT,1
2020,WI,5
2020,CA,50
2020,GA,14
2020,NC,11
2020,TX,4
2020,IL,3
2020,MO,1
2020,NY,16
2020,CO,3
2020,FL,15
2020,IA,4
2020,KS,2
2020,VA,5
2024,AZ,3
2024,CA,12
2024,CA,16
2024,CA,29
2024,CA,30
2024,CA,31
2024,CA,47
2024,DE,0
2024,MD,2
2024,MD,3
2024,MD,6
2024,MI,7
2024,MI,8
2024,MN,3
2024,NH,2
2024,NJ,3
2024,NC,6
2024,NC,13
2024,NC,14
2024,OR,3
2024,TX,32
2024,VA,7
2024,VA,10
2024,WA,6
2024,AZ,8
2024,CO,4
2024,CO,5
2024,FL,8
2024,GA,3
2024,IN,3
2024,IN,6
2024,IN,8
2024,KS,2
2024,LA,6
2024,MO,3
2024,MT,2
2024,NC,8
2024,NC,10
2024,ND,0
2024,OH,2
2024,SC,3
2024,TX,12
2024,TX,26
2024,UT,3
2024,WA,5
2024,WV,2
2024,NJ,9
2024,TX,18
2024,WI,8
2024,MO,1
2024,NY,16
2024,AL,1
2024,VA,5
